item,prioridade,impacto,esforco,confianca,horizonte,responsavel,relacao_break_even,metrica,criterio_sucesso
Auditar compra restore e billing,P0,alto,medio,alta,14,desenvolvedor,direta,purchase_success_rate,Compra e restore funcionando em iOS e Android
Instrumentar funil minimo,P0,alto,medio,alta,14,desenvolvedor,direta,event_coverage,Eventos first_open signup shift paywall purchase visiveis
Simplificar primeiro plantao com valor,P1,alto,medio,media,30,ambos,direta,first_shift_with_value_rate,Aumento de 50% na taxa de ativacao
Resumo financeiro pos primeiro plantao,P1,alto,medio,media,30,desenvolvedor,direta,financial_summary_viewed,70% dos ativados veem resumo
Paywall contextual apos valor percebido,P1,alto,medio,media,30,ambos,direta,paywall_to_purchase_rate,Conversao paywall >=5% em baseline inicial
Reposicionar copy para recebimentos,P1,medio,baixo,media,30,founder,direta,store_cta_ctr,Aumento em clique/instalacao rastreado
Founder-led 3 videos por semana,P1,medio,medio,media,60,founder,indireta,installs_by_source,Origem founder gera ativados com custo zero
ASO screenshots financeiros,P1,medio,medio,media,60,ambos,indireta,store_conversion_rate,Aumento da conversao da loja
Fechamento mensal,P1,alto,medio,media,90,desenvolvedor,direta,monthly_close_viewed,Retencao mensal sobe
Indicacao premium controlada,P2,medio,medio,baixa,90,ambos,indireta,referral_activated_users,10% dos ativados vem de indicacao
WebApp completo,P3,medio,alto,baixa,90,desenvolvedor,indireta,paid_retention,Adiar ate funil mobile estabilizar
Calendario editorial diario,P3,baixo,alto,media,90,founder,inexistente,content_to_paid,Interromper ate tracking confiavel
